Word		Original_feature		Predicted_feature
शीतकाल		3		3
के		UNK		UNK
लिए		UNK		3
कपाट		3		UNK
बंद		UNK		3
होने		3		UNK
से		UNK		3
पूर्व		3		3
मंदिर		3		3
को		UNK		UNK
शानदार		UNK		3
तरीके		3		3
से		UNK		3
फूलों		3		3
से		UNK		3
सजाया		any		3
गया		any		3
।		UNK		UNK
लक्ष्मी		3		3
मंदिर		3		3
में		UNK		UNK
रावल		3		3
द्वारा		UNK		3
मां		3		UNK
लक्ष्मी		3		3
की		UNK		UNK
पूजा		3		3
के		UNK		UNK
बाद		3		3
नारीवेश		3		3
धारण		3		3
कर		any		3
लक्ष्मी		3		3
जी		UNK		UNK
की		UNK		UNK
मूर्ति		3		3
को		UNK		UNK
गर्भ		3		3
गृह		3		3
में		UNK		UNK
ले		any		3
जाया		any		3
गया		any		3
।		UNK		UNK
परंपरानुसार		3		3
माणा		3		UNK
की		UNK		UNK
कुमारी		UNK		3
कन्याओं		3		3
द्वारा		UNK		3
बुना		any		3
गया		any		3
धृत		3		3
कंबल		3		3
को		UNK		UNK
भगवान		3		3
के		UNK		UNK
विग्रह		3		3
पर		UNK		3
लपेटा		any		UNK
गया		any		3
।		UNK		UNK
इसके		3		3
बाद		3		3
शीतकाल		3		3
के		UNK		UNK
लिए		UNK		3
भगवान		3		3
बदरी		3		3
विशाल		3		3
के		UNK		UNK
कपाट		3		UNK
बंद		UNK		3
कर		any		3
दिए		any		3
गए		any		UNK
।		UNK		UNK
कपाट		3		UNK
बंद		UNK		3
होने		any		UNK
के		UNK		UNK
अवसर		3		3
पर		UNK		3
करीब		UNK		3
पांच		UNK		UNK
हजार		UNK		3
श्रद्धालुओं		3		3
ने		UNK		3
भगवान		3		3
बदरी		3		3
विशाल		3		3
के		3h		UNK
दर्शन		3		3
किए		3h		3
।		UNK		UNK
इस		3		3
मौके		3		UNK
पर		UNK		3
सेना		3		3
की		UNK		UNK
गढ़वाल		3		3
स्काउट		3		3
बटालियन		3		3
ने		UNK		3
शानदार		UNK		3
बैंड		3		UNK
धुन		3		3
बजाकर		any		3
श्रद्धालुओं		3		3
को		UNK		UNK
मंत्रमुग्ध		UNK		3
कर		any		3
दिया		any		3
।		UNK		UNK
मंदिर		3		3
समिति		3		3
के		3h		UNK
अध्यक्ष		3		3
मौजूद		UNK		3
थे		3h		UNK
।		UNK		UNK
मंदिर		3		3
के		UNK		UNK
कपाट		3		UNK
बंद		UNK		3
होने		any		UNK
के		UNK		UNK
अवसर		3		3
पर		UNK		3
श्री		3		3
बदरी		3		3
केदार		3		3
मंदिर		3		3
समिति		3		3
के		3h		UNK
अध्यक्ष		3		3
डॉ.		3		UNK
अनसुया		3		3
प्रसाद		3		3
मैखुरी		3		3
,		UNK		UNK
मुख्य		UNK		3
कार्याधिकारी		3		3
पीएम		3		3
शर्मा		3		3
,		UNK		UNK
उप		UNK		3
मुख्य		UNK		3
कार्याधिकारी		3		3
जेपी		3		UNK
नंबूरी		3		3
,		UNK		UNK
विशेष		UNK		3
कार्याधिकारी		3		3
एलएन		3		3
सती		3		3
,		UNK		UNK
धर्माधिकारी		3		3
एवं		UNK		UNK
वेदपाठी		3		3
सहित		UNK		3
माणा		3		UNK
,		UNK		UNK
बामणी		3		3
,		UNK		UNK
NULL		UNK		UNK
पांडुकेश्वर		3		3
के		UNK		UNK
अलावा		UNK		3
अनेक		UNK		3
हक		3		UNK
हकूकधारी		UNK		3
समाज		3		3
के		UNK		UNK
प्रतिनिधि		3		3
मौजूद		UNK		3
थे		any		UNK
।		UNK		UNK
भारी		UNK		3
बारिश		3		3
के		UNK		UNK
कारण		UNK		3
दोनों		UNK		3
मार्गों		3		UNK
में		UNK		UNK
फिसलन		3		3
को		UNK		UNK
देखते		any		UNK
हुए		any		3
अधिकारियों		3		3
ने		UNK		3
यात्रा		3		3
स्थगित		UNK		3
कर		any		3
दी		any		3
थी		any		3
।		UNK		UNK
उधर		3		3
