Word		Original_root		Predicted_root
صدر		صدر		
تلگودیشم		تلگودیشم		
مسٹر		مسٹر		
این		این		
چندرا		چندرا		
بابو		بابو		
نائیڈو		نائیڈو		
نے		نے		
کڑپہ		کڑپہ		
کے		کا		
ضمنی		ضمنی		
انتخابات		انتخاب		
مےں		مےں		
اضافی		اضافی		
فورسیس		فورسی		
کی		کا		
تعیناتی		تعیناتی		
کا		کا		
مطالبہ		مطالبہ		
کرتے		کر		
ہوئے		ہو		
چیف		چیف		
الیکشن		الیکشن		
کمشنر		کمشنر		
کو		کو		
مکتوب		مکتوب		
روانہ		روانہ		
کیا		کر		
۔		۔		
انہوں		وہ		
نے		نے		
کڑپہ		کڑپہ		
کے		کا		
پارلیمانی		پارلیمانی		
اور		اور		
پولی		پولی		
ویندلہ		ویندلہ		
کے		کا		
اسمبلی		اسمبلی		
انتخابات		انتخاب		
کو		کو		
صاف		صاف		
و		و		
شفاف		شفاف		
بنانے		بنا		
کے		کے		
لئے		لئے		
زائد		زائد		
پولیس		پولیس		
فورس		فورس		
تعینات		تعینات		
کرنے		کر		
کا		کا		
مطالبہ		مطالبہ		
کرتے		کر		
ہوئے		ہو		
کہا		کہہ		
کہ		کہ		
ان		یہ		
انتخابات		انتخاب		
مےں		مےں		
غیرسماجی		غیرسماجی		
عناصر		عنصر		
کی		کا		
جانب		جانب		
سے		سے		
بدامنی		بدامنی		
پھیلائے		پھیل		
جانے		جا		
کا		کا		
خدشہ		خدشہ		
ہے		ہے		
۔		۔		
مسٹر		مسٹر		
نائیڈو		نائیڈو		
نے		نے		
اپنے		اپنا		
مکتوب		مکتوب		
مےں		مےں		
چیف		چیف		
الیکشن		الیکشن		
کمشنر		کمشنر		
سے		سے		
NULL		null		
خواہش		خواہش		
کی		کر		
کہ		کہ		
وہ		وہ		
ہر		ہر		
حلقہ		حلقہ		
اسمبلی		اسمبلی		
مےں		مےں		
علحدہ		علحدہ		
علحدہ		علحدہ		
فورس		فورس		
کی		کا		
تعیناتی		تعیناتی		
کو		کو		
یقینی		یقینی		
بنانے		بنا		
کے		کا		
اقدامات		اقدام		
کریں		کر		
تاکہ		تاکہ		
آزادانہ		آزادانہ		
و		و		
منصفانہ		منصفانہ		
انتخابات		انتخاب		
کو		کو		
یقینی		یقینی		
بنایا		بنا		
جا		جا		
سکے		سک		
۔		۔		
NULL		واضح		
واضح		واضح		
رہے		رہ		
کہ		کہ		
گزشتہ		گزشتہ		
یوم		یوم		
مسٹر		مسٹر		
