Word		Original_feature		Predicted_feature
صدر		m		m
تلگودیشم		m		m
مسٹر		UNK		m
این		m		m
چندرا		m		m
بابو		m		m
نائیڈو		m		m
نے		UNK		m
کڑپہ		m		m
کے		m		m
ضمنی		any		m
انتخابات		m		m
مےں		UNK		m
اضافی		any		m
فورسیس		m		m
کی		f		m
تعیناتی		m		m
کا		m		m
مطالبہ		m		m
کرتے		any		m
ہوئے		any		m
چیف		m		m
الیکشن		m		m
کمشنر		m		m
کو		UNK		m
مکتوب		m		m
روانہ		any		m
کیا		m		m
۔		UNK		m
انہوں		m		m
نے		UNK		m
کڑپہ		m		m
کے		m		m
پارلیمانی		any		m
اور		UNK		m
پولی		m		m
ویندلہ		m		m
کے		m		m
اسمبلی		any		m
انتخابات		m		m
کو		UNK		m
صاف		any		m
و		UNK		m
شفاف		any		m
بنانے		any		m
کے		UNK		m
لئے		UNK		m
زائد		any		m
پولیس		f		m
فورس		m		m
تعینات		m		m
کرنے		any		m
کا		m		m
مطالبہ		m		m
کرتے		any		m
ہوئے		any		m
کہا		m		m
کہ		UNK		m
ان		any		m
انتخابات		m		m
مےں		UNK		m
غیرسماجی		any		m
عناصر		m		m
کی		f		m
جانب		m		m
سے		UNK		m
بدامنی		f		m
پھیلائے		any		m
جانے		any		m
کا		m		m
خدشہ		m		m
ہے		any		m
۔		UNK		m
مسٹر		UNK		m
نائیڈو		m		m
نے		UNK		m
اپنے		m		m
مکتوب		m		m
مےں		UNK		m
چیف		m		m
الیکشن		m		m
کمشنر		m		m
سے		UNK		m
NULL		UNK		m
خواہش		f		m
کی		f		m
کہ		UNK		m
وہ		any		m
ہر		any		m
حلقہ		m		m
اسمبلی		m		m
مےں		UNK		m
علحدہ		any		m
علحدہ		any		m
فورس		m		m
کی		f		m
تعیناتی		f		m
کو		UNK		m
یقینی		any		m
بنانے		any		m
کے		m		m
اقدامات		m		m
کریں		any		m
تاکہ		UNK		m
آزادانہ		any		m
و		UNK		m
منصفانہ		any		m
انتخابات		m		m
کو		UNK		m
یقینی		any		m
بنایا		m		m
جا		any		m
سکے		m		m
۔		UNK		m
NULL		any		m
واضح		any		m
رہے		m		m
کہ		UNK		m
گزشتہ		any		m
یوم		m		m
مسٹر		UNK		m
نائیڈو		m		m
پر		UNK		m
ضلع		m		m
کڑپہ		m		m
مےں		UNK		m
ہوئے		any		m
حملہ		m		m
کے		UNK		m
بعد		m		m
مسٹر		UNK		m
نائیڈو		m		m
نے		UNK		m
اس		any		m
طرح		m		m
کے		m		m
واقعات		m		m
کا		m		m
حوالہ		m		m
دیتے		any		m
ہوئے		any		m
کہا		m		m
کہ		UNK		m
ضلع		m		m
کڑپہ		m		m
مےں		UNK		m
گروہ_واری		any		m
عناصر		m		m
انتخابات		m		m
مےں		UNK		m
دھاندلیوں		m		m
کی		f		m
منصوبہ_بندی		f		m
کر		any		m
رہے		m		m
ہیں		m		m
۔		UNK		m
انہوں		m		m
نے		UNK		m
بتایا		m		m
کہ		UNK		m
جمہوریت		f		m
کی		f		m
بقاء		f		m
کے		UNK		m
لئے		UNK		m
یہ		any		m
ضروری		any		m
ہے		any		m
کہ		UNK		m
چیف		m		m
الیکشن		m		m
کمشنر		m		m
کی		f		m
جانب		m		m
سے		UNK		m
ان		any		m
انتخابات		m		m
کی		f		m
راست		any		m
نگرانی		f		m
اور		UNK		m
غنڈہ		any		m
عناصر		m		m
پر		UNK		m
کنٹرول		m		m
کے		UNK		m
لئے		UNK		m
سخت_ترین		any		m
انتظامات		m		m
کئے		m		m
جائیں		m		m
۔		UNK		m
مسٹر		UNK		m
نائیڈو		m		m
نے		UNK		m
سی		m		m
ای		m		m
سی		m		m
کو		UNK		m
روانہ_کردہ		any		m
مکتوب		m		m
مےں		UNK		m
اس		any		m
بات		f		m
کی		f		m
طرف		m		m
بھی		UNK		m
اشارہ		m		m
کیا		m		m
کہ		UNK		m
علاقے		m		m
مےں		UNK		m
وائی		m		m
ایس		m		m
جگن		m		m
موہن		m		m
ریڈی		m		m
کی		f		m
جانب		m		m
سے		UNK		m
بدعنوانیوں		f		m
و		UNK		m
بےقاعدگیوں		f		m
کے		UNK		m
ذریعہ		m		m
حاصل_کردہ		any		m
دولت		f		m
کے		m		m
استعمال		m		m
کے		UNK		m
ذریعہ		m		m
رائےدہندوں		m		m
کو		UNK		m
راغب		any		m
کرنے		any		m
کی		f		m
کوشش		f		m
کی		f		m
جا		any		m
رہی		f		m
ہے		any		m
جو		any		m
کہ		UNK		m
انتخابی		any		m
ضابطہ		m		m
اخلاق		m		m
کی		f		m
سنگین		any		m
خلاف_ورزی		m		m
ہے		any		m
-		UNK		m
برقی		any		m
شاک		m		m
کی		f		m
زد		f		m
مےں		UNK		m
آ		any		m
کر		any		m
اےک		any		m
11		any		m
سالہ		any		m
لڑکی		f		m
سجانا		f		m
ہلاک		any		m
ہو		any		m
گئی		f		m
NULL		UNK		m
واقعہ		m		m
نریڈ		m		m
میٹ		m		m
پولیس		m		m
اسٹیشن		m		m
حدود		m		m
مےں		UNK		m
کل		m		m
شام		m		m
پیش		m		m
آیا		m		m
۔		UNK		m
نریڈمیڈ		m		m
کے		m		m
ساکن		any		m
وینکٹیش		m		m
کی		f		m
لڑکی		f		m
سجاتا		f		m
6		any		m
ویں		UNK		m
جماعت		f		m
مےں		UNK		m
تعلیم		f		m
حاصل		m		m
کر		any		m
رہی		f		m
تھی		f		m
جو		any		m
کل		m		m
شام		m		m
اپنے		any		m
مکان		m		m
مےں		UNK		m
کام		m		m
کاج		m		m
کے		UNK		m
دوران		m		m
برقی		any		m
شاک		m		m
کی		f		m
زد		f		m
مےں		UNK		m
آ		any		m
گئی		f		m
۔		UNK		m
لڑکی		f		m
کو		UNK		m
فوری		any		m
طور		m		m
پر		UNK		m
قریبی		any		m
ہاسپٹل		m		m
سے		UNK		m
رجوع		m		m
کیا		m		m
گیا		m		m
جہاں		UNK		m
دوران		m		m
علاج		m		m
وہ		any		m
فوت		f		m
ہو		any		m
گئی		f		m
